# link_name	path	kind	feature	page	status	updated	title	aliases	links_out	code_refs
# generated by wiki-index.sh from business-docs/wiki — derived, do not hand-edit
authorization-related	business-docs/wiki/features/authorization/related.md	feature	authorization	related	stub	2026-08-29	Authorization — related		0011-a-missing-permission-is-a-type-error,audit-logging,authentication-index,authorization-api,authorization-decisions,authorization-errors,authorization-validations,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
authorization-screens	business-docs/wiki/features/authorization/screens.md	feature	authorization	screens	stub	2026-08-29	Authorization — screens		mcp-protocol	business-docs/wiki/shared/mvp-spec.md:53,business-docs/wiki/shared/mvp-spec.md:144
authorization-states	business-docs/wiki/features/authorization/states.md	feature	authorization	states	stub	2026-08-29	Authorization — states		0011-a-missing-permission-is-a-type-error,authorization-validations,security,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:341,business-docs/wiki/shared/mvp-spec.md:124
authorization-validations	business-docs/wiki/features/authorization/validations.md	feature	authorization	validations	stub	2026-08-29	Authorization — validations		0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,authorization-states,divergences,security,token-administration-index	business-docs/wiki/shared/mvp-spec.md:124,business-docs/wiki/shared/mvp-spec.md:161
cellar-api	business-docs/wiki/features/cellar/api.md	feature	cellar	api	stub	2026-08-29	Cellar — API		0002-no-openapi-for-an-mcp-surface,0007-upsert-fills-blanks-and-never-overwrites,cellar-errors,cellar-flow,cellar-states,cellar-validations,data-types,mcp-protocol	business-docs/wiki/shared/mvp-spec.md:193,business-docs/wiki/shared/mvp-spec.md:263
cellar-copy	business-docs/wiki/features/cellar/copy.md	feature	cellar	copy	stub	2026-08-29	Cellar — copy		authorization-index,cellar-states,mcp-protocol,recommendation-engine-index	business-docs/wiki/shared/mvp-spec.md:53,business-docs/wiki/shared/mvp-spec.md:153
cellar-decisions	business-docs/wiki/features/cellar/decisions.md	feature	cellar	decisions	stub	2026-08-29	Cellar — decisions		0001-the-wiki-is-the-source-of-truth,0002-no-openapi-for-an-mcp-surface,0004-a-deterministic-rule-based-engine,0006-missing-data-never-penalizes,0007-upsert-fills-blanks-and-never-overwrites,0008-wine-and-cellar-item-are-separate,0010-two-layer-permission-enforcement,0015-closed-enumerations-are-database-types,0019-bottles-are-held-as-lots,0020-bounds-are-enforced-in-the-database-too,cellar-api,cellar-errors,cellar-flow,cellar-states,mvp-spec,security	
cellar-errors	business-docs/wiki/features/cellar/errors.md	feature	cellar	errors	stub	2026-08-29	Cellar — errors		0007-upsert-fills-blanks-and-never-overwrites,authentication-index,authorization-index,cellar-validations,divergences,error-codes,security,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:343
cellar-flow	business-docs/wiki/features/cellar/flow.md	feature	cellar	flow	stub	2026-08-29	Cellar — flow		0007-upsert-fills-blanks-and-never-overwrites,0009-vision-happens-client-side,cellar-related,cellar-screens,cellar-states,mvp-spec,reviews-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:193,business-docs/wiki/shared/mvp-spec.md:418
cellar-index	business-docs/wiki/features/cellar/index.md	feature	cellar	index	stub	2026-08-29	Cellar	cellar	0008-wine-and-cellar-item-are-separate,0019-bottles-are-held-as-lots,0020-bounds-are-enforced-in-the-database-too,authorization-index,cellar-api,cellar-copy,cellar-decisions,cellar-errors,cellar-flow,cellar-related,cellar-screens,cellar-states,cellar-validations,divergences,mvp-spec,recommendation-engine-index,reviews-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:90,business-docs/wiki/shared/mvp-spec.md:193
cellar-related	business-docs/wiki/features/cellar/related.md	feature	cellar	related	stub	2026-08-29	Cellar — related		audit-logging,authentication-index,authorization-index,cellar-states,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
cellar-screens	business-docs/wiki/features/cellar/screens.md	feature	cellar	screens	stub	2026-08-29	Cellar — screens		authorization-index,cellar-api,mcp-protocol	business-docs/wiki/shared/mvp-spec.md:53
cellar-states	business-docs/wiki/features/cellar/states.md	feature	cellar	states	stub	2026-08-29	Cellar — states		divergences,recommendation-engine-index,reviews-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:90,business-docs/wiki/shared/mvp-spec.md:198,business-docs/wiki/shared/mvp-spec.md:299
cellar-validations	business-docs/wiki/features/cellar/validations.md	feature	cellar	validations	stub	2026-08-29	Cellar — validations		0010-two-layer-permission-enforcement,cellar-states,data-types,divergences,security,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:350,business-docs/wiki/shared/mvp-spec.md:377
preferences-api	business-docs/wiki/features/preferences/api.md	feature	preferences	api	stub	2026-08-29	Preferences — API		0002-no-openapi-for-an-mcp-surface,0007-upsert-fills-blanks-and-never-overwrites,audit-logging,mcp-protocol,recommendation-engine-api,security	business-docs/wiki/shared/mvp-spec.md:212,business-docs/wiki/shared/mvp-spec.md:138
preferences-copy	business-docs/wiki/features/preferences/copy.md	feature	preferences	copy	stub	2026-08-29	Preferences — copy		0005-every-point-of-score-maps-to-a-reason,authorization-index,recommendation-engine-index	business-docs/wiki/shared/mvp-spec.md:277
preferences-decisions	business-docs/wiki/features/preferences/decisions.md	feature	preferences	decisions	stub	2026-08-29	Preferences — decisions		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0004-a-deterministic-rule-based-engine,0005-every-point-of-score-maps-to-a-reason,0006-missing-data-never-penalizes,0007-upsert-fills-blanks-and-never-overwrites,0010-two-layer-permission-enforcement,0015-closed-enumerations-are-database-types,0020-bounds-are-enforced-in-the-database-too,preferences-api	
preferences-errors	business-docs/wiki/features/preferences/errors.md	feature	preferences	errors	stub	2026-08-29	Preferences — errors		0006-missing-data-never-penalizes,authentication-index,divergences,error-codes,mvp-spec,preferences-index,preferences-validations,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:157
preferences-flow	business-docs/wiki/features/preferences/flow.md	feature	preferences	flow	stub	2026-08-29	Preferences — flow		0004-a-deterministic-rule-based-engine,authentication-index,mvp-spec,preferences-index,preferences-states,recommendation-engine-index,reviews-index	business-docs/wiki/shared/mvp-spec.md:212,business-docs/wiki/shared/mvp-spec.md:296
preferences-index	business-docs/wiki/features/preferences/index.md	feature	preferences	index	stub	2026-08-29	Preferences	preferences	0004-a-deterministic-rule-based-engine,0015-closed-enumerations-are-database-types,0020-bounds-are-enforced-in-the-database-too,authentication-index,authorization-index,divergences,mvp-spec,preferences-api,preferences-copy,preferences-decisions,preferences-errors,preferences-flow,preferences-related,preferences-screens,preferences-states,preferences-validations,recommendation-engine-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:79,business-docs/wiki/shared/mvp-spec.md:212
preferences-related	business-docs/wiki/features/preferences/related.md	feature	preferences	related	stub	2026-08-29	Preferences — related		audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
preferences-screens	business-docs/wiki/features/preferences/screens.md	feature	preferences	screens	stub	2026-08-29	Preferences — screens		authorization-index,preferences-api	business-docs/wiki/shared/mvp-spec.md:53
preferences-states	business-docs/wiki/features/preferences/states.md	feature	preferences	states	stub	2026-08-29	Preferences — states		0006-missing-data-never-penalizes,preferences-index	business-docs/wiki/shared/mvp-spec.md:79,business-docs/wiki/shared/mvp-spec.md:300
preferences-validations	business-docs/wiki/features/preferences/validations.md	feature	preferences	validations	stub	2026-08-29	Preferences — validations		0010-two-layer-permission-enforcement,preferences-index	business-docs/wiki/shared/mvp-spec.md:377
recommendation-engine-api	business-docs/wiki/features/recommendation-engine/api.md	feature	recommendation-engine	api	stub	2026-08-29	Recommendation engine — API		0002-no-openapi-for-an-mcp-surface,0006-missing-data-never-penalizes,cellar-index,mcp-protocol,recommendation-engine-validations,security,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:251,business-docs/wiki/shared/mvp-spec.md:269
recommendation-engine-copy	business-docs/wiki/features/recommendation-engine/copy.md	feature	recommendation-engine	copy	stub	2026-08-29	Recommendation engine — copy		0005-every-point-of-score-maps-to-a-reason,divergences,mvp-spec,recommendation-engine-screens,recommendation-engine-states	business-docs/wiki/shared/mvp-spec.md:277,business-docs/wiki/shared/mvp-spec.md:287
recommendation-engine-decisions	business-docs/wiki/features/recommendation-engine/decisions.md	feature	recommendation-engine	decisions	stub	2026-08-29	Recommendation engine — decisions		0002-no-openapi-for-an-mcp-surface,0004-a-deterministic-rule-based-engine,0005-every-point-of-score-maps-to-a-reason,0006-missing-data-never-penalizes,0007-upsert-fills-blanks-and-never-overwrites,0008-wine-and-cellar-item-are-separate,0010-two-layer-permission-enforcement,0015-closed-enumerations-are-database-types,0021-wine-search-is-full-text-plus-trigram,authorization-index,divergences,mvp-spec,recommendation-engine-api,recommendation-engine-copy,recommendation-engine-states,wine-catalog-index	
recommendation-engine-errors	business-docs/wiki/features/recommendation-engine/errors.md	feature	recommendation-engine	errors	stub	2026-08-29	Recommendation engine — errors		0005-every-point-of-score-maps-to-a-reason,0006-missing-data-never-penalizes,authentication-index,authorization-index,divergences,error-codes,mvp-spec,recommendation-engine-states,recommendation-engine-validations,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:343
recommendation-engine-flow	business-docs/wiki/features/recommendation-engine/flow.md	feature	recommendation-engine	flow	stub	2026-08-29	Recommendation engine — flow		0004-a-deterministic-rule-based-engine,0005-every-point-of-score-maps-to-a-reason,0006-missing-data-never-penalizes,authentication-index,authorization-index,divergences,preferences-index,recommendation-engine-errors	business-docs/wiki/shared/mvp-spec.md:292,business-docs/wiki/shared/mvp-spec.md:296,business-docs/wiki/shared/mvp-spec.md:304
recommendation-engine-index	business-docs/wiki/features/recommendation-engine/index.md	feature	recommendation-engine	index	stub	2026-08-29	Recommendation engine	recommendation-engine	0004-a-deterministic-rule-based-engine,0006-missing-data-never-penalizes,0015-closed-enumerations-are-database-types,0021-wine-search-is-full-text-plus-trigram,authorization-index,cellar-index,divergences,mvp-spec,preferences-index,recommendation-engine-api,recommendation-engine-copy,recommendation-engine-decisions,recommendation-engine-errors,recommendation-engine-flow,recommendation-engine-related,recommendation-engine-screens,recommendation-engine-states,recommendation-engine-validations,reviews-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:249,business-docs/wiki/shared/mvp-spec.md:292
recommendation-engine-related	business-docs/wiki/features/recommendation-engine/related.md	feature	recommendation-engine	related	stub	2026-08-29	Recommendation engine — related		0004-a-deterministic-rule-based-engine,0006-missing-data-never-penalizes,0010-two-layer-permission-enforcement,audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-copy,recommendation-engine-decisions,reviews-index,security,token-administration-index,user-administration-index,wine-catalog-index	
recommendation-engine-screens	business-docs/wiki/features/recommendation-engine/screens.md	feature	recommendation-engine	screens	stub	2026-08-29	Recommendation engine — screens		0005-every-point-of-score-maps-to-a-reason,mcp-protocol,recommendation-engine-api,recommendation-engine-copy	business-docs/wiki/shared/mvp-spec.md:53
recommendation-engine-states	business-docs/wiki/features/recommendation-engine/states.md	feature	recommendation-engine	states	stub	2026-08-29	Recommendation engine — states		0005-every-point-of-score-maps-to-a-reason,0006-missing-data-never-penalizes,recommendation-engine-flow	business-docs/wiki/shared/mvp-spec.md:304,business-docs/wiki/shared/mvp-spec.md:318
recommendation-engine-validations	business-docs/wiki/features/recommendation-engine/validations.md	feature	recommendation-engine	validations	stub	2026-08-29	Recommendation engine — validations		0010-two-layer-permission-enforcement,data-types,recommendation-engine-flow	business-docs/wiki/shared/mvp-spec.md:253,business-docs/wiki/shared/mvp-spec.md:377
reviews-api	business-docs/wiki/features/reviews/api.md	feature	reviews	api	stub	2026-08-29	Reviews — API		0002-no-openapi-for-an-mcp-surface,0005-every-point-of-score-maps-to-a-reason,divergences,mcp-protocol,mvp-spec,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:206,business-docs/wiki/shared/mvp-spec.md:209
reviews-copy	business-docs/wiki/features/reviews/copy.md	feature	reviews	copy	stub	2026-08-29	Reviews — copy		0005-every-point-of-score-maps-to-a-reason,reviews-screens,reviews-states	business-docs/wiki/shared/mvp-spec.md:278,business-docs/wiki/shared/mvp-spec.md:153
reviews-decisions	business-docs/wiki/features/reviews/decisions.md	feature	reviews	decisions	stub	2026-08-29	Reviews — decisions		0002-no-openapi-for-an-mcp-surface,0004-a-deterministic-rule-based-engine,0005-every-point-of-score-maps-to-a-reason,0008-wine-and-cellar-item-are-separate,0010-two-layer-permission-enforcement,0019-bottles-are-held-as-lots,0020-bounds-are-enforced-in-the-database-too,cellar-index,divergences,mvp-spec,reviews-api	
reviews-errors	business-docs/wiki/features/reviews/errors.md	feature	reviews	errors	stub	2026-08-29	Reviews — errors		0010-two-layer-permission-enforcement,divergences,error-codes,mcp-protocol,mvp-spec,reviews-copy,reviews-decisions,reviews-flow,reviews-validations,security,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:157
reviews-flow	business-docs/wiki/features/reviews/flow.md	feature	reviews	flow	stub	2026-08-29	Reviews — flow		cellar-index,divergences,reviews-api,user-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:206,business-docs/wiki/shared/mvp-spec.md:207
reviews-index	business-docs/wiki/features/reviews/index.md	feature	reviews	index	stub	2026-08-29	Reviews	reviews	0020-bounds-are-enforced-in-the-database-too,cellar-index,divergences,mvp-spec,recommendation-engine-index,reviews-api,reviews-copy,reviews-decisions,reviews-errors,reviews-flow,reviews-related,reviews-screens,reviews-states,reviews-validations,user-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:94,business-docs/wiki/shared/mvp-spec.md:206,business-docs/wiki/shared/mvp-spec.md:310
reviews-related	business-docs/wiki/features/reviews/related.md	feature	reviews	related	stub	2026-08-29	Reviews — related		audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-api,reviews-decisions,security,token-administration-index,user-administration-index,wine-catalog-index	
reviews-screens	business-docs/wiki/features/reviews/screens.md	feature	reviews	screens	stub	2026-08-29	Reviews — screens		mcp-protocol,reviews-copy	business-docs/wiki/shared/mvp-spec.md:53
reviews-states	business-docs/wiki/features/reviews/states.md	feature	reviews	states	stub	2026-08-29	Reviews — states		divergences,recommendation-engine-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:94
reviews-validations	business-docs/wiki/features/reviews/validations.md	feature	reviews	validations	stub	2026-08-29	Reviews — validations		divergences,reviews-api	business-docs/wiki/shared/mvp-spec.md:94,business-docs/wiki/shared/mvp-spec.md:206
